repo_name,smell_code,type,level,year,owner_type,language,size,contributors
filo-movie/filomovie,DL3008,DL,warning,2021,Organization,Python,16479,5
filo-movie/filomovie,DL3042,DL,warning,2021,Organization,Python,16479,5
filo-movie/filomovie,DL3025,DL,warning,2021,Organization,Python,16479,5
ABeltramo/soundbot-gui,DL3004,DL,error,2021,User,TypeScript,2459,1
ABeltramo/soundbot-gui,DL3018,DL,warning,2021,User,TypeScript,2459,1
ABeltramo/soundbot-gui,DL3018,DL,warning,2021,User,TypeScript,2459,1
frasercl/MMGIS,DL3008,DL,warning,2021,User,JavaScript,82942,7
HBPMedical/DataQualityControlTool,DL3008,DL,warning,2021,Organization,Python,102566,4
HBPMedical/DataQualityControlTool,DL3042,DL,warning,2021,Organization,Python,102566,4
ghostplant/antares,DL4000,DL,error,2020,User,Python,1176,2
ghostplant/antares,DL3027,DL,warning,2020,User,Python,1176,2
ghostplant/antares,DL4006,DL,warning,2020,User,Python,1176,2
ghostplant/antares,DL3027,DL,warning,2020,User,Python,1176,2
ghostplant/antares,DL3008,DL,warning,2020,User,Python,1176,2
ghostplant/antares,SC2039,SC,warning,2020,User,Python,1176,2
ghostplant/antares,DL3013,DL,warning,2020,User,Python,1176,2
ghostplant/antares,DL3042,DL,warning,2020,User,Python,1176,2
ghostplant/antares,DL3003,DL,warning,2020,User,Python,1176,2
ghostplant/antares,DL3020,DL,error,2020,User,Python,1176,2
ghostplant/antares,DL3003,DL,warning,2020,User,Python,1176,2
shivapoudyal/docker-tut,DL3006,DL,warning,2020,User,Python,19,1
kwoodson/machine-config-operator,DL3003,DL,warning,2021,User,Go,34898,30
Informasjonsforvaltning/fdk-portal,DL3016,DL,warning,2021,Organization,TypeScript,313774,30
Informasjonsforvaltning/user-api,DL3045,DL,warning,2021,Organization,Kotlin,110,2
Informasjonsforvaltning/user-api,DL3025,DL,warning,2021,Organization,Kotlin,110,2
Informasjonsforvaltning/concept-catalogue-gui,DL3018,DL,warning,2021,Organization,TypeScript,5985,15
Informasjonsforvaltning/concept-catalogue-gui,DL3016,DL,warning,2021,Organization,TypeScript,5985,15
Informasjonsforvaltning/records-of-processing-activities,DL3020,DL,error,2021,Organization,Kotlin,899,8
Informasjonsforvaltning/records-of-processing-activities,DL3025,DL,warning,2021,Organization,Kotlin,899,8
Informasjonsforvaltning/fdk-reference-data,DL3025,DL,warning,2021,Organization,Java,10936,8
zshiningstar/yolov5,DL3027,DL,warning,2021,User,Python,9754,30
zshiningstar/yolov5,DL3045,DL,warning,2021,User,Python,9754,30
zshiningstar/yolov5,DL3042,DL,warning,2021,User,Python,9754,30
zshiningstar/yolov5,DL3013,DL,warning,2021,User,Python,9754,30
zshiningstar/yolov5,DL3042,DL,warning,2021,User,Python,9754,30
zshiningstar/yolov5,DL3013,DL,warning,2021,User,Python,9754,30
zshiningstar/yolov5,DL3042,DL,warning,2021,User,Python,9754,30
CryptoKasm/NineChronicles,DL3008,DL,warning,2021,Organization,C#,954064,17
CryptoKasm/NineChronicles,DL3027,DL,warning,2021,Organization,C#,954064,17
madosuki/voicevox,DL4006,DL,warning,2021,User,TypeScript,12316,30
alvyfz/ca-myproperty,DL3007,DL,warning,2021,User,Go,117,1
lolwolfey/CSE442-Project,DL3042,DL,warning,2021,User,Python,537,6
lolwolfey/CSE442-Project,DL3025,DL,warning,2021,User,Python,537,6
RDPerera/ProjectX,DL3027,DL,warning,2021,User,Python,355,2
RDPerera/ProjectX,DL3045,DL,warning,2021,User,Python,355,2
RDPerera/ProjectX,DL3042,DL,warning,2021,User,Python,355,2
RDPerera/ProjectX,DL3013,DL,warning,2021,User,Python,355,2
RDPerera/ProjectX,DL3042,DL,warning,2021,User,Python,355,2
RDPerera/ProjectX,DL3013,DL,warning,2021,User,Python,355,2
RDPerera/ProjectX,DL3042,DL,warning,2021,User,Python,355,2
Pearson-Advance/edx-platform,DL3027,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3042,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3042,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3025,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3042,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3013,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3025,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3025,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3013,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3042,DL,warning,,Organization,Python,1317691,30
Pearson-Advance/edx-platform,DL3025,DL,warning,,Organization,Python,1317691,30
kaosagnt/boot2docker-xfs-ng,DL3008,DL,warning,2021,User,Shell,2220,1
kaosagnt/boot2docker-xfs-ng,SC2155,SC,warning,2021,User,Shell,2220,1
kaosagnt/boot2docker-xfs-ng,DL3003,DL,warning,2021,User,Shell,2220,1
kaosagnt/boot2docker-xfs-ng,SC2164,SC,warning,2021,User,Shell,2220,1
kaosagnt/boot2docker-xfs-ng,DL3020,DL,error,2021,User,Shell,2220,1
kaosagnt/boot2docker-xfs-ng,DL3008,DL,warning,2021,User,Shell,2220,1
arc42/docs.arc42.org-site,DL3007,DL,warning,2021,Organization,SCSS,15935,12
arc42/docs.arc42.org-site,DL3045,DL,warning,2021,Organization,SCSS,15935,12
arc42/docs.arc42.org-site,DL3018,DL,warning,2021,Organization,SCSS,15935,12
arc42/docs.arc42.org-site,DL3028,DL,warning,2021,Organization,SCSS,15935,12
vlang/v,DL3008,DL,warning,2021,Organization,V,44480,30
dcblack/systemc-complete,DL3007,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL3008,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL3008,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL3008,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL3008,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL3042,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL3013,DL,warning,2020,User,Perl,235,1
dcblack/systemc-complete,DL4006,DL,warning,2020,User,Perl,235,1
michaelahli/postgre-scheduler,DL3018,DL,warning,2021,User,Go,27,1
michaelahli/postgre-scheduler,DL3018,DL,warning,2021,User,Go,27,1
michaelahli/postgre-scheduler,DL3018,DL,warning,2021,User,Go,27,1
epistoteles/Modergator,DL3008,DL,warning,2021,User,Python,108131,3
epistoteles/Modergator,DL3013,DL,warning,2021,User,Python,108131,3
epistoteles/Modergator,DL3042,DL,warning,2021,User,Python,108131,3
CodeProcessor/DeepLab-Training-Pipeline,DL3008,DL,warning,2021,User,Python,567,2
CodeProcessor/DeepLab-Training-Pipeline,DL3042,DL,warning,2021,User,Python,567,2
CodeProcessor/DeepLab-Training-Pipeline,DL3013,DL,warning,2021,User,Python,567,2
CodeProcessor/DeepLab-Training-Pipeline,DL3003,DL,warning,2021,User,Python,567,2
tanakahk/Backend-Studies,DL3027,DL,warning,2021,User,JavaScript,328,1
tanakahk/full-stack-API,DL3027,DL,warning,2021,User,JavaScript,268,1
finiam/rails-starter,DL3018,DL,warning,2021,Organization,Ruby,6942,5
finiam/rails-starter,DL3028,DL,warning,2021,Organization,Ruby,6942,5
finiam/rails-starter,DL3025,DL,warning,2021,Organization,Ruby,6942,5
materials-commons/materialscommons,DL3008,DL,warning,2020,Organization,PHP,16807,2
materials-commons/materialscommons,DL4006,DL,warning,2020,Organization,PHP,16807,2
materials-commons/materialscommons,DL3025,DL,warning,2020,Organization,PHP,16807,2
TheresNoGit/TheresNoDiscordBot,DL3027,DL,warning,2021,Organization,Python,149,3
TheresNoGit/TheresNoDiscordBot,DL3027,DL,warning,2021,Organization,Python,149,3
TheresNoGit/TheresNoDiscordBot,DL3020,DL,error,2021,Organization,Python,149,3
TheresNoGit/TheresNoDiscordBot,DL3042,DL,warning,2021,Organization,Python,149,3
ngi-nix/cwe_checker,DL4006,DL,warning,2021,Organization,Rust,7815,6
ngi-nix/cwe_checker,DL3008,DL,warning,2021,Organization,Rust,7815,6
ngi-nix/cwe_checker,DL4006,DL,warning,2021,Organization,Rust,7815,6
ngi-nix/cwe_checker,DL3004,DL,error,2021,Organization,Rust,7815,6
CiscoDevNet/sastre,DL3013,DL,warning,2020,Organization,Python,580,4
CiscoDevNet/sastre,DL3018,DL,warning,2020,Organization,Python,580,4
nonnil/TorCi,DL4000,DL,error,2021,User,Nim,11014,1
nonnil/TorCi,DL3018,DL,warning,2021,User,Nim,11014,1
nonnil/TorCi,DL4006,DL,warning,2021,User,Nim,11014,1
1nf1nateL00p3r/jackhammer,DL3008,DL,warning,2019,User,Java,66964,5
1nf1nateL00p3r/jackhammer,DL3008,DL,warning,2019,User,Java,66964,5
1nf1nateL00p3r/jackhammer,DL4006,DL,warning,2019,User,Java,66964,5
1nf1nateL00p3r/jackhammer,DL3025,DL,warning,2019,User,Java,66964,5
lushenle/cse546-project3,DL3008,DL,warning,2021,User,Python,12,1
lushenle/cse546-project3,DL3008,DL,warning,2021,User,Python,12,1
lushenle/cse546-project3,DL3020,DL,error,2021,User,Python,12,1
kofj/docs,DL3008,DL,warning,2020,User,Shell,54909,30
tustustushar/MUSIC,DL3027,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL3027,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL3042,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL3013,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL4006,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL3008,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL3042,DL,warning,2021,User,Python,448,3
tustustushar/MUSIC,DL3025,DL,warning,2021,User,Python,448,3
ValterH/opencv_aws_lambda_windows,DL3006,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3032,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3033,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3033,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3032,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3042,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3013,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3042,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3042,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3013,DL,warning,2021,User,Dockerfile,43797,4
ValterH/opencv_aws_lambda_windows,DL3042,DL,warning,2021,User,Dockerfile,43797,4
poziom-szczepien/poziom-szczepien.github.io,DL3008,DL,warning,2021,User,JavaScript,16008,2
poziom-szczepien/poziom-szczepien.github.io,DL3016,DL,warning,2021,User,JavaScript,16008,2
calendso/docker,DL3018,DL,warning,2021,Organization,Shell,54,9
NeilBrandon/Node-RED-Docker,DL3008,DL,warning,2019,User,JavaScript,32,2
NeilBrandon/Node-RED-Docker,DL3008,DL,warning,2019,User,JavaScript,32,2
clandestine-condor/reviews-service,DL3045,DL,warning,2021,Organization,JavaScript,33,1
PixelExperience/wiki,DL3020,DL,error,2021,Organization,SCSS,101623,30
PixelExperience/wiki,DL3020,DL,error,2021,Organization,SCSS,101623,30
PixelExperience/wiki,DL3028,DL,warning,2021,Organization,SCSS,101623,30
PixelExperience/wiki,DL3025,DL,warning,2021,Organization,SCSS,101623,30
eduardocerqueira/janitor,DL3032,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL3033,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL3013,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL3042,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL3042,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL3013,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL3042,DL,warning,2021,User,Python,131,2
eduardocerqueira/janitor,DL4006,DL,warning,2021,User,Python,131,2
eduardocerqueira/seeker,DL3006,DL,warning,2021,User,Python,1971,1
eduardocerqueira/seeker,DL4006,DL,warning,2021,User,Python,1971,1
eduardocerqueira/seeker,DL3013,DL,warning,2021,User,Python,1971,1
eduardocerqueira/seeker,DL3013,DL,warning,2021,User,Python,1971,1
eduardocerqueira/seeker,DL3013,DL,warning,2021,User,Python,1971,1
eduardocerqueira/seeker,DL3000,DL,error,2021,User,Python,1971,1
eduardocerqueira/seeker,DL4006,DL,warning,2021,User,Python,1971,1
eduardocerqueira/seeker,DL3000,DL,error,2021,User,Python,1971,1
eduardocerqueira/seeker,DL3025,DL,warning,2021,User,Python,1971,1
patrocinio/jmeter-ibmmq,DL4000,DL,error,2021,User,Java,7972,10
patrocinio/jmeter-ibmmq,DL3018,DL,warning,2021,User,Java,7972,10
patrocinio/jmeter-ibmmq,DL3025,DL,warning,2021,User,Java,7972,10
raghavTinker/Github-Visualizer,DL3045,DL,warning,2021,User,Python,212,3
raghavTinker/Github-Visualizer,DL3042,DL,warning,2021,User,Python,212,3
VKCOM/kphp,DL3008,DL,warning,2020,Organization,C++,31522,20
VKCOM/kphp,DL4006,DL,warning,2020,Organization,C++,31522,20
project-oak/oak,DL3008,DL,warning,2021,Organization,Rust,94719,26
project-oak/oak,DL3008,DL,warning,2021,Organization,Rust,94719,26
project-oak/oak,DL3008,DL,warning,2021,Organization,Rust,94719,26
Mmasson-01/udemy-docker,DL3006,DL,warning,2021,User,JavaScript,31,1
jchima/container-ci-demo,DL3045,DL,warning,2021,User,Java,215,1
bert-w/version-comparison-heatmap,DL3007,DL,warning,2021,User,JavaScript,25,1
bert-w/version-comparison-heatmap,DL3008,DL,warning,2021,User,JavaScript,25,1
f1nal3/Juniorgram,DL3006,DL,warning,2021,User,C++,4188,13
verywitted/mediapipe-1,DL3007,DL,warning,2019,User,C++,208000,3
verywitted/mediapipe-1,DL4000,DL,error,2019,User,C++,208000,3
verywitted/mediapipe-1,DL3008,DL,warning,2019,User,C++,208000,3
verywitted/mediapipe-1,DL3013,DL,warning,2019,User,C++,208000,3
verywitted/mediapipe-1,DL3042,DL,warning,2019,User,C++,208000,3
verywitted/mediapipe-1,DL3042,DL,warning,2019,User,C++,208000,3
verywitted/mediapipe-1,DL3013,DL,warning,2019,User,C++,208000,3
Filum-AI/filum-java-sdk,DL3025,DL,warning,2021,Organization,Java,45096,1
eoinmcafee00/HelloWorldCore,DL1000,DL,error,2021,User,Dockerfile,97,1
akshaysu12/gdc-pipeline,DL3008,DL,warning,2021,User,Python,10,1
brandond/rke2,DL3008,DL,warning,2020,User,None,24356,6
brandond/rke2,DL3008,DL,warning,2020,User,None,24356,6
brandond/rke2,DL4006,DL,warning,2020,User,None,24356,6
brandond/rke2,SC2046,SC,warning,2020,User,None,24356,6
brecke/Hilary,DL3018,DL,warning,2021,User,JavaScript,32164,23
brecke/Hilary,DL3018,DL,warning,2021,User,JavaScript,32164,23
