repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size,contributors
filomovie/Dockerfile,DL3009,DL,info,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3008,DL,warning,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3015,DL,info,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3009,DL,info,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3042,DL,warning,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3059,DL,info,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3059,DL,info,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3059,DL,info,2021,660,11,Organization,Python,16479,5
filomovie/Dockerfile,DL3025,DL,warning,2021,660,11,Organization,Python,16479,5
soundbot-gui/Dockerfile,DL3004,DL,error,2021,832,22,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3018,DL,warning,2021,832,22,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3019,DL,info,2021,832,22,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3059,DL,info,2021,832,22,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3018,DL,warning,2021,832,22,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3019,DL,info,2021,832,22,User,TypeScript,2459,1
MMGIS/Dockerfile,DL3009,DL,info,2021,471,11,User,JavaScript,82942,7
MMGIS/Dockerfile,DL3008,DL,warning,2021,471,11,User,JavaScript,82942,7
MMGIS/Dockerfile,DL3015,DL,info,2021,471,11,User,JavaScript,82942,7
MMGIS/Dockerfile,DL3059,DL,info,2021,471,11,User,JavaScript,82942,7
DataQualityControlTool/Dockerfile,DL3008,DL,warning,2021,401,7,Organization,Python,102566,4
DataQualityControlTool/Dockerfile,DL3009,DL,info,2021,401,7,Organization,Python,102566,4
DataQualityControlTool/Dockerfile,DL3042,DL,warning,2021,401,7,Organization,Python,102566,4
DataQualityControlTool/Dockerfile,DL3015,DL,info,2021,401,7,Organization,Python,102566,4
antares/Dockerfile,DL4000,DL,error,2020,2282,34,User,Python,1176,2
antares/Dockerfile,DL3027,DL,warning,2020,2282,34,User,Python,1176,2
antares/Dockerfile,DL3059,DL,info,2020,2282,34,User,Python,1176,2
antares/Dockerfile,DL4006,DL,warning,2020,2282,34,User,Python,1176,2
antares/Dockerfile,DL3027,DL,warning,2020,2282,34,User,Python,1176,2
