repo_name,smell_code,type,level,year,owner_type,language,size,contributors
filomovie/Dockerfile,DL3008,DL,warning,2021,Organization,Python,16479,5
filomovie/Dockerfile,DL3042,DL,warning,2021,Organization,Python,16479,5
filomovie/Dockerfile,DL3025,DL,warning,2021,Organization,Python,16479,5
soundbot-gui/Dockerfile,DL3004,DL,error,2021,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3018,DL,warning,2021,User,TypeScript,2459,1
soundbot-gui/Dockerfile,DL3018,DL,warning,2021,User,TypeScript,2459,1
MMGIS/Dockerfile,DL3008,DL,warning,2021,User,JavaScript,82942,7
DataQualityControlTool/Dockerfile,DL3008,DL,warning,2021,Organization,Python,102566,4
DataQualityControlTool/Dockerfile,DL3042,DL,warning,2021,Organization,Python,102566,4
antares/Dockerfile,DL4000,DL,error,2020,User,Python,1176,2
antares/Dockerfile,DL3027,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,DL4006,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,DL3027,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,DL3008,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,SC2039,SC,warning,2020,User,Python,1176,2
antares/Dockerfile,DL3013,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,DL3042,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,DL3003,DL,warning,2020,User,Python,1176,2
antares/Dockerfile,DL3020,DL,error,2020,User,Python,1176,2
antares/Dockerfile,DL3003,DL,warning,2020,User,Python,1176,2
docker-tut/Dockerfile,DL3006,DL,warning,2020,User,Python,19,1
machine-config-operator/Dockerfile,DL3003,DL,warning,2021,User,Go,34898,30
fdk-portal/Dockerfile,DL3016,DL,warning,2021,Organization,TypeScript,313774,30
concept-catalogue-gui/Dockerfile,DL3018,DL,warning,2021,Organization,TypeScript,5985,15
concept-catalogue-gui/Dockerfile,DL3016,DL,warning,2021,Organization,TypeScript,5985,15
fdk-reference-data/Dockerfile,DL3025,DL,warning,2021,Organization,Java,10936,8
yolov5/Dockerfile,DL3027,DL,warning,2021,User,Python,9754,30
yolov5/Dockerfile,DL3045,DL,warning,2021,User,Python,9754,30
yolov5/Dockerfile,DL3042,DL,warning,2021,User,Python,9754,30
yolov5/Dockerfile,DL3013,DL,warning,2021,User,Python,9754,30
yolov5/Dockerfile,DL3042,DL,warning,2021,User,Python,9754,30
yolov5/Dockerfile,DL3013,DL,warning,2021,User,Python,9754,30
yolov5/Dockerfile,DL3042,DL,warning,2021,User,Python,9754,30
NineChronicles/Dockerfile,DL3008,DL,warning,2021,Organization,C#,954064,17
NineChronicles/Dockerfile,DL3027,DL,warning,2021,Organization,C#,954064,17
voicevox/Dockerfile,DL4006,DL,warning,2021,User,TypeScript,12316,30
ca-myproperty/Dockerfile,DL3007,DL,warning,2021,User,Go,117,1
